Date,Mean_UV,Variance_UV
2023-12-31,0.0,0.0
2024-01-01,0.0,0.0
2024-01-02,0.0,0.0
2024-01-03,0.0,0.0
2024-01-04,0.0,0.0
2024-01-05,0.0,0.0
2024-01-06,0.0,0.0
2024-01-07,0.0,0.0
2024-01-08,0.0,0.0
2024-01-09,0.0,0.0
2024-01-10,0.0,0.0
2024-01-11,0.0,0.0
2024-01-12,0.0,0.0
2024-01-13,0.0,0.0
2024-01-14,0.0,0.0
2024-01-15,0.0,0.0
2024-01-16,0.0,0.0
2024-01-17,0.0,0.0
2024-01-18,0.0,0.0
2024-01-19,0.0,0.0
2024-01-20,0.0,0.0
2024-01-21,0.0,0.0
2024-01-22,0.0,0.0
2024-01-23,0.0,0.0
2024-01-24,0.0,0.0
2024-01-25,0.0,0.0
2024-01-26,0.0,0.0
2024-01-27,0.0,0.0
2024-01-28,4.333333333333333,431.8888888888889
2024-01-29,29.333333333333332,13758.22222222222
2024-01-30,103.0,130668.33333333333
2024-01-31,198.66666666666666,394275.55555555556
2024-02-01,335.6666666666667,956493.2222222224
2024-02-02,482.3333333333333,1825026.5555555557
2024-02-03,639.0,3009297.6666666665
2024-02-04,822.0,4642417.333333333
2024-02-05,1012.0,6480448.0
2024-02-06,1054.0,6417985.333333333
2024-02-07,1400.3333333333333,10967287.888888888
2024-02-08,1704.3333333333333,15264471.88888889
2024-02-09,1945.6666666666667,18198847.88888889
2024-02-10,2332.6666666666665,25155151.555555556
2024-02-11,2679.3333333333335,31678452.888888884
2024-02-12,2982.3333333333335,37463311.88888889
2024-02-13,3147.6666666666665,39505098.55555555
2024-02-14,3560.6666666666665,49014004.88888887
2024-02-15,4117.333333333333,63935336.888888896
2024-02-16,4567.333333333333,74658890.22222224
2024-02-17,4197.333333333333,59140136.888888896
2024-02-18,4597.0,70199604.33333333
2024-02-19,5428.333333333333,96325605.22222225
2024-02-20,6108.666666666667,117209007.55555552
2024-02-21,6970.0,148411158.66666666
2024-02-22,7901.0,183799316.33333334
2024-02-23,8235.0,192229209.66666666
2024-02-24,8317.666666666666,194226695.88888887
2024-02-25,8715.0,201382324.33333334
2024-02-26,10217.0,281222263.0
2024-02-27,9108.333333333334,201979813.22222224
2024-02-28,10252.0,275586789.3333333
