Date,Mean_UV,Variance_UV
2023-12-31,0.0,0.0
2024-01-01,0.0,0.0
2024-01-02,0.0,0.0
2024-01-03,0.0,0.0
2024-01-04,0.0,0.0
2024-01-05,0.0,0.0
2024-01-06,0.0,0.0
2024-01-07,0.0,0.0
2024-01-08,0.0,0.0
2024-01-09,0.0,0.0
2024-01-10,0.0,0.0
2024-01-11,0.0,0.0
2024-01-12,0.0,0.0
2024-01-13,0.0,0.0
2024-01-14,0.0,0.0
2024-01-15,0.0,0.0
2024-01-16,0.0,0.0
2024-01-17,0.0,0.0
2024-01-18,0.0,0.0
2024-01-19,0.0,0.0
2024-01-20,0.0,0.0
2024-01-21,0.0,0.0
2024-01-22,0.0,0.0
2024-01-23,0.0,0.0
2024-01-24,0.0,0.0
2024-01-25,0.0,0.0
2024-01-26,0.0,0.0
2024-01-27,0.0,0.0
2024-01-28,0.0,0.0
2024-01-29,0.0,0.0
2024-01-30,0.0,0.0
2024-01-31,0.0,0.0
2024-02-01,0.0,0.0
2024-02-02,0.0,0.0
2024-02-03,0.0,0.0
2024-02-04,0.0,0.0
2024-02-05,0.0,0.0
2024-02-06,0.0,0.0
2024-02-07,0.0,0.0
2024-02-08,0.0,0.0
2024-02-09,0.0,0.0
2024-02-10,0.0,0.0
2024-02-11,0.0,0.0
2024-02-12,0.0,0.0
2024-02-13,0.0,0.0
2024-02-14,0.0,0.0
2024-02-15,0.0,0.0
2024-02-16,14.333333333333334,3381.2222222222226
2024-02-17,91.33333333333333,103540.88888888889
2024-02-18,227.0,535044.3333333334
2024-02-19,318.6666666666667,781667.5555555556
2024-02-20,581.6666666666666,2289671.8888888885
2024-02-21,850.6666666666666,4466504.888888888
2024-02-22,1109.6666666666667,6495053.222222221
2024-02-23,1364.3333333333333,9069013.222222224
2024-02-24,1689.3333333333333,12782563.555555552
2024-02-25,1788.3333333333333,12340863.888888886
2024-02-26,2269.3333333333335,20143347.555555556
2024-02-27,2908.0,30759557.333333332
2024-02-28,3208.3333333333335,35698343.888888896
2024-02-29,3245.0,32346452.333333332
2024-03-01,3788.6666666666665,45240852.88888889
2024-03-02,4789.333333333333,67181987.55555557
2024-03-03,5276.333333333333,77098623.88888888
2024-03-04,5772.333333333333,87733663.88888893
2024-03-05,6407.666666666667,104559421.22222222
2024-03-06,7731.0,149364271.0
2024-03-07,8819.666666666666,181878133.2222223
2024-03-08,9598.666666666666,207362430.2222222
2024-03-09,10639.333333333334,244833370.22222218
2024-03-10,11395.666666666666,268961285.22222215
2024-03-11,12302.0,303960257.3333333
2024-03-12,13272.0,346346640.0
2024-03-13,13593.333333333334,352310691.5555556
2024-03-14,14282.333333333334,367925997.2222223
2024-03-15,16182.0,467253036.0
2024-03-16,17455.333333333332,528550730.22222227
2024-03-17,18503.333333333332,572153652.8888891
2024-03-18,17895.333333333332,504145839.5555555
2024-03-19,19286.666666666668,596344248.8888887
2024-03-20,21121.0,700279265.6666666
2024-03-21,21190.0,657037521.3333334
2024-03-22,24121.333333333332,862310510.2222223
2024-03-23,25786.666666666668,945890371.5555553
2024-03-24,24185.666666666668,814792906.5555553
2024-03-25,25329.0,871239052.3333334
2024-03-26,26940.0,1044050890.6666666
2024-03-27,30582.0,1190870289.3333333
2024-03-28,30218.0,1096176076.0
2024-03-29,32300.0,1256445914.6666667
2024-03-30,34460.333333333336,1428352287.888889
2024-03-31,35812.0,1447416586.6666667
2024-04-01,38632.666666666664,1701380634.2222223
2024-04-02,39528.0,1721737274.6666667
2024-04-03,40063.333333333336,1760945039.5555553
2024-04-04,43226.0,1921249377.3333333
2024-04-05,45183.0,2064318476.3333333
2024-04-06,41439.333333333336,1725047930.222222
2024-04-07,44454.333333333336,1858402277.2222216
2024-04-08,48501.666666666664,2261561842.5555553
2024-04-09,52316.333333333336,2525859967.888889
2024-04-10,53952.0,2572132922.6666665
2024-04-11,54969.333333333336,2676047304.8888893
2024-04-12,54482.666666666664,2536949294.222223
2024-04-13,60948.666666666664,3064874212.8888893
2024-04-14,62645.666666666664,3094831826.555556
2024-04-15,65385.666666666664,3332125498.555557
2024-04-16,66528.33333333333,3329132797.222222
2024-04-17,68882.66666666667,3444057422.222223
2024-04-18,70004.0,3524112325.3333335
2024-04-19,64835.333333333336,2670502383.555555
2024-04-20,67057.33333333333,3254072478.222223
2024-04-21,77698.33333333333,3895559853.222222
2024-04-22,76757.33333333333,3462309139.555556
2024-04-23,72766.33333333333,2948266725.2222214
2024-04-24,75287.66666666667,3143655767.888889
2024-04-25,80959.0,3470330183.0
2024-04-26,78301.0,3419062911.0
2024-04-27,82679.0,3502482065.6666665
2024-04-28,87656.66666666667,3832851055.555556
2024-04-29,89601.0,4039176279.0
2024-04-30,89067.0,3617958409.6666665
2024-05-01,89595.0,3597642697.6666665
2024-05-02,98192.0,4369812912.0
2024-05-03,105085.0,4743335012.333333
2024-05-04,106688.66666666667,4758419764.888887
2024-05-05,94217.66666666667,3511317114.555556
2024-05-06,93795.66666666667,3762927146.5555553
2024-05-07,101947.0,4367957513.666667
2024-05-08,104609.0,4272079527.0
2024-05-09,96426.0,3252541484.0
2024-05-10,102501.66666666667,3505450274.555556
2024-05-11,106138.33333333333,4075026999.8888893
2024-05-12,100404.33333333333,3353365802.555556
2024-05-13,108223.0,3817621004.3333335
2024-05-14,111668.33333333333,4216776687.888889
2024-05-15,115466.66666666667,4168486142.222223
2024-05-16,111609.66666666667,3574939631.888888
2024-05-17,116227.33333333333,3534596212.8888893
2024-05-18,124314.33333333333,4216055933.222223
