Date,Mean_UV,Variance_UV
2023-12-31,13677.714285714286,273154682.7755102
2024-01-01,7709.333333333333,201407256.88888904
2024-01-02,6483.666666666667,137366047.88888887
2024-01-03,7956.666666666667,214679466.22222224
2024-01-04,10222.666666666666,346473603.5555555
2024-01-05,8461.333333333334,251440286.22222212
2024-01-06,9009.0,271545953.6666667
2024-01-07,10076.333333333334,330904287.88888896
2024-01-08,10304.333333333334,370109314.55555564
2024-01-09,11039.666666666666,398534322.5555555
2024-01-10,11751.0,439641425.6666667
2024-01-11,11691.0,439097369.6666667
2024-01-12,12080.0,457272122.6666667
2024-01-13,11448.333333333334,413274711.88888854
2024-01-14,11651.0,431879161.6666667
2024-01-15,12888.333333333334,509974189.22222185
2024-01-16,13205.333333333334,529927880.888889
2024-01-17,13141.666666666666,533756093.22222215
2024-01-18,13978.333333333334,581574759.8888887
2024-01-19,13780.0,555922704.0
2024-01-20,13764.666666666666,553466527.5555557
2024-01-21,15062.333333333334,656947594.5555556
2024-01-22,15813.333333333334,721595246.2222219
2024-01-23,15541.666666666666,698848066.5555559
2024-01-24,16552.333333333332,778029655.8888893
2024-01-25,17007.0,818404535.0
2024-01-26,17381.0,836068852.3333334
2024-01-27,17066.0,807844108.0
2024-01-28,17338.0,818042550.6666666
2024-01-29,18782.333333333332,954639237.2222224
2024-01-30,19315.0,1012170761.6666666
2024-01-31,20071.333333333332,1066198916.8888897
2024-02-01,19719.0,1034930807.0
2024-02-02,18214.0,875724390.6666666
2024-02-03,17951.333333333332,861858207.5555557
2024-02-04,21111.333333333332,1150870815.5555553
2024-02-05,22488.666666666668,1289431722.222222
2024-02-06,24136.0,1460825306.6666667
2024-02-07,24768.333333333332,1520403277.222222
2024-02-08,23616.333333333332,1368351762.5555553
2024-02-09,19249.0,1098927095.0
2024-02-10,22153.333333333332,1326892440.8888896
2024-02-11,24945.666666666668,1480480570.5555546
2024-02-12,23630.333333333332,1306893637.2222219
2024-02-13,22382.333333333332,1153442074.5555553
2024-02-14,25993.666666666668,1564101829.2222226
2024-02-15,27790.0,1764431446.6666667
2024-02-16,26216.0,1617103562.6666667
2024-02-17,27267.0,1681076639.0
2024-02-18,32551.666666666668,2328524114.555556
2024-02-19,34512.333333333336,2605169719.888889
2024-02-20,35543.333333333336,2736501151.555554
2024-02-21,36526.666666666664,2857449171.5555563
2024-02-22,37395.333333333336,2973577711.555556
2024-02-23,37617.0,2953097073.6666665
2024-02-24,38164.666666666664,3001899946.2222233
2024-02-25,38579.666666666664,3101632997.2222238
2024-02-26,41341.0,3489659193.6666665
2024-02-27,41728.666666666664,3496179834.2222233
2024-02-28,30729.333333333332,2042296488.88889
2024-02-29,30198.666666666668,1761156510.2222214
2024-03-01,34275.0,2462501695.0
2024-03-02,38641.333333333336,3022552558.222223
2024-03-03,44179.0,3729890543.0
2024-03-04,44717.333333333336,3792136296.888888
2024-03-05,41375.0,3239960487.0
2024-03-06,45236.333333333336,3966132517.2222214
2024-03-07,43162.666666666664,3610028792.888889
2024-03-08,42987.0,3660880431.0
2024-03-09,53579.666666666664,5182631642.555558
2024-03-10,46054.333333333336,4016560757.222221
2024-03-11,46809.0,3760143873.6666665
2024-03-12,36495.666666666664,2659610066.5555553
2024-03-13,43391.666666666664,3509096802.5555553
2024-03-14,50504.666666666664,4255475178.2222238
2024-03-15,53288.666666666664,4747191263.555557
2024-03-16,43748.666666666664,3351902634.2222247
2024-03-17,35144.666666666664,2110886922.222222
2024-03-18,54990.0,5300948476.0
2024-03-19,55607.0,5619778721.666667
2024-03-20,54187.0,4826467977.666667
2024-03-21,60025.0,5939125089.666667
2024-03-22,59235.0,5717781076.333333
2024-03-23,61321.666666666664,6052396383.888888
2024-03-24,63392.0,6247846362.666667
2024-03-25,63022.666666666664,6978266382.22222
2024-03-26,65283.0,6473435412.333333
2024-03-27,56233.333333333336,5479201688.8888855
2024-03-28,57966.666666666664,5204367528.888888
2024-03-29,56293.0,5889408324.333333
2024-03-30,63863.666666666664,5972952071.88889
2024-03-31,58875.333333333336,5539746794.222222
2024-04-01,69798.0,7215165313.333333
2024-04-02,53992.333333333336,4271725367.888889
2024-04-03,45435.666666666664,3983917487.888889
2024-04-04,28409.0,1215911441.6666667
2024-04-05,70958.66666666667,7621293763.555554
2024-04-06,71173.33333333333,7239623235.555553
2024-04-07,77402.66666666667,8550968264.888889
2024-04-08,86045.33333333333,10283246238.222223
2024-04-09,52754.333333333336,6119742199.888888
2024-04-10,52158.666666666664,3952675592.888889
2024-04-11,66316.33333333333,5989206911.888888
2024-04-12,72155.33333333333,6990669812.888889
2024-04-13,67282.0,7042838412.0
2024-04-14,54227.333333333336,5006566788.888888
2024-04-15,59597.666666666664,5356354519.88889
2024-04-16,91746.0,10717339932.0
2024-04-17,78615.0,8875692103.0
2024-04-18,56310.0,4724220145.333333
2024-04-19,42840.0,2976191978.6666665
2024-04-20,70158.66666666667,8894547966.22222
2024-04-21,72413.66666666667,8028133266.555556
2024-04-22,83314.0,9452476694.666666
2024-04-23,80072.0,8022944192.0
2024-04-24,87596.0,9089350469.333334
2024-04-25,79825.33333333333,7555122792.888888
2024-04-26,86313.33333333333,8818838504.88889
2024-04-27,77728.0,7431118122.666667
2024-04-28,55006.333333333336,4482708709.222222
2024-04-29,56053.666666666664,4655595346.555556
2024-04-30,82205.0,7549817897.666667
2024-05-01,90876.33333333333,9402516111.888891
2024-05-02,73228.66666666667,6172895290.2222185
2024-05-03,52842.666666666664,3604967848.888888
2024-05-04,75779.66666666667,7014206266.555554
2024-05-05,54096.333333333336,2987011842.555556
2024-05-06,85153.0,8049380791.0
2024-05-07,103655.66666666667,13215680253.222221
2024-05-08,98084.66666666667,10365231679.555555
2024-05-09,91827.33333333333,8564166127.555557
2024-05-10,90386.66666666667,9795983134.22222
2024-05-11,90228.0,11864545642.666666
2024-05-12,104214.0,13581655937.333334
2024-05-13,117974.66666666667,14840762339.555555
2024-05-14,68930.66666666667,8453563240.88889
2024-05-15,68593.66666666667,8575995210.555554
2024-05-16,101203.33333333333,11347939956.88889
2024-05-17,106131.33333333333,11834628714.222223
2024-05-18,112865.0,13872296668.333334
2024-05-19,85995.33333333333,9162449450.222225
2024-05-20,60286.333333333336,4477438938.555554
2024-05-21,83144.66666666667,8345294868.888888
2024-05-22,98000.0,10485676544.0
2024-05-23,109552.0,12582480442.666666
2024-05-24,110234.0,12250258374.666666
2024-05-25,84052.66666666667,7370504420.8888855
2024-05-26,50147.333333333336,2687140111.5555553
2024-05-27,53147.666666666664,2929954917.2222233
2024-05-28,79914.66666666667,6703511358.222221
2024-05-29,78389.66666666667,7058424237.222221
2024-05-30,46713.333333333336,2439541112.888889
2024-05-31,67778.0,5747231372.0
2024-06-01,108102.33333333333,11339687871.888893
2024-06-02,92395.0,7713451209.666667
2024-06-03,111916.33333333333,11683508042.555555
2024-06-04,95449.0,9724526353.666666
2024-06-05,92304.0,7777601914.666667
2024-06-06,62121.333333333336,5278521918.222222
2024-06-07,74637.0,6713870319.0
2024-06-08,80496.0,6917943802.666667
2024-06-09,81760.33333333333,5437759239.888888
2024-06-10,92718.33333333333,7584568911.888892
2024-06-11,109756.66666666667,12270940570.22222
2024-06-12,133292.0,16821764517.333334
2024-06-13,130984.0,16212100176.0
