Date,Mean_UV,Variance_UV
2023-12-31,0.0,0.0
2024-01-01,94.33333333333333,127285.22222222241
2024-01-02,111.66666666666667,157527.88888888893
2024-01-03,147.66666666666666,266293.22222222184
2024-01-04,178.66666666666666,346888.8888888891
2024-01-05,226.33333333333334,532594.5555555557
2024-01-06,261.3333333333333,675795.5555555563
2024-01-07,321.6666666666667,953045.2222222219
2024-01-08,387.6666666666667,1330357.2222222218
2024-01-09,456.0,1764410.6666666667
2024-01-10,520.6666666666666,2205284.8888888876
2024-01-11,423.3333333333333,1408852.8888888892
2024-01-12,695.3333333333334,3630548.888888892
2024-01-13,758.3333333333334,4150618.5555555583
2024-01-14,851.0,4876671.0
2024-01-15,1024.6666666666667,6892068.8888889
2024-01-16,1152.6666666666667,8527567.555555558
2024-01-17,1218.0,9116225.333333334
2024-01-18,1331.6666666666667,10245978.55555555
2024-01-19,1597.6666666666667,14267581.222222233
2024-01-20,1827.6666666666667,18045946.555555534
2024-01-21,1912.0,19285712.0
2024-01-22,1896.3333333333333,17637117.222222216
2024-01-23,2383.6666666666665,28146770.555555567
2024-01-24,2582.3333333333335,32080437.222222205
2024-01-25,2599.6666666666665,31187821.222222235
2024-01-26,2277.6666666666665,21525154.55555554
2024-01-27,3128.6666666666665,42315972.88888893
2024-01-28,3354.0,46983142.666666664
2024-01-29,3543.3333333333335,52342927.555555604
2024-01-30,3638.3333333333335,52561151.888888866
2024-01-31,3880.0,58733642.666666664
2024-02-01,3721.6666666666665,50745109.22222219
2024-02-02,4585.666666666667,77795770.55555546
2024-02-03,5289.0,100378087.0
2024-02-04,5606.666666666667,109699304.88888891
2024-02-05,6473.666666666667,146725695.88888893
2024-02-06,5832.0,114438016.0
2024-02-07,5743.333333333333,105238932.88888882
2024-02-08,7109.333333333333,167350504.88888904
2024-02-09,7532.333333333333,174724165.22222236
2024-02-10,9144.0,257723722.66666666
2024-02-11,9543.333333333334,269802186.2222219
2024-02-12,10296.0,311213450.6666667
2024-02-13,10759.333333333334,331961055.5555554
2024-02-14,11284.666666666666,361911455.5555555
2024-02-15,12046.666666666666,401031827.5555556
2024-02-16,12498.0,420113489.3333333
2024-02-17,13197.666666666666,470053757.2222223
2024-02-18,12752.666666666666,422460506.2222221
2024-02-19,14563.333333333334,540329914.2222227
2024-02-20,15442.666666666666,601760814.2222228
2024-02-21,16251.666666666666,650171802.5555557
2024-02-22,16711.666666666668,689892381.2222227
2024-02-23,13362.333333333334,415125698.55555516
2024-02-24,14494.0,472214449.3333333
2024-02-25,18890.0,817829004.0
2024-02-26,18421.0,800746980.3333334
2024-02-27,18878.666666666668,775713262.2222219
2024-02-28,22191.666666666668,1094164237.2222211
2024-02-29,22682.333333333332,1134346909.2222216
2024-03-01,20277.0,940870447.0
2024-03-02,17736.666666666668,633702826.2222222
2024-03-03,22109.0,937677684.3333334
2024-03-04,26783.333333333332,1458587663.5555546
