Date,Mean_Surface_Solar_Radiation_Jm2,Variance_Surface_Solar_Radiation_Jm2
2024-03-09,501637.3333333333,446319570915.5554
2024-03-10,374824.0,276241872149.3333
2024-03-11,411597.3333333333,290190837752.889
2024-03-12,277050.6666666667,166386999608.88882
2024-03-13,364381.3333333333,254899475448.88895
2024-03-14,429986.6666666667,310683993080.889
2024-03-15,476882.6666666667,381755325603.5556
2024-03-16,352448.0,228325968213.33334
2024-03-17,258978.66666666666,118209427448.88887
2024-03-18,467421.3333333333,415869325987.5556
2024-03-19,470552.0,440441797226.6667
2024-03-20,463085.3333333333,358290798755.5555
2024-03-21,540229.3333333334,478052807992.88873
2024-03-22,496237.3333333333,385666279587.5555
2024-03-23,524088.0,435121291712.0
2024-03-24,549914.6666666666,475508675555.55566
2024-03-25,524498.6666666666,525434025806.2222
2024-03-26,544837.3333333334,448202034147.55536
2024-03-27,420272.0,327821717589.3333
2024-03-28,457229.3333333333,337697404920.8889
2024-03-29,456189.3333333333,429512890872.8889
2024-03-30,541581.3333333334,434053433678.2222
2024-03-31,490605.3333333333,395299573923.55566
2024-04-01,590165.3333333334,512646266424.889
2024-04-02,423149.3333333333,249761224867.55557
2024-04-03,369216.0,284158502570.6667
2024-04-04,199770.66666666666,57110076387.55557
2024-04-05,642306.6666666666,631022436515.5555
2024-04-06,649016.0,599522432789.3334
2024-04-07,754656.0,800202050218.6666
2024-04-08,832376.0,925782620608.0
2024-04-09,461053.3333333333,514414277795.5556
2024-04-10,443717.3333333333,309977478798.2222
2024-04-11,612250.6666666666,519714899939.5554
2024-04-12,664802.6666666666,598968135672.889
2024-04-13,617178.6666666666,630119068643.5559
2024-04-14,448984.0,367865728618.6667
2024-04-15,524352.0,432647193600.0
2024-04-16,918216.0,1017722787605.3334
2024-04-17,748896.0,815767349589.3334
2024-04-18,471410.6666666667,375213851982.2222
2024-04-19,346538.6666666667,217261984995.55557
2024-04-20,643160.0,788442498666.6666
2024-04-21,644986.6666666666,675907249123.5555
2024-04-22,750333.3333333334,764579045198.2222
2024-04-23,751098.6666666666,684745177059.5558
2024-04-24,799253.3333333334,750066273848.8888
2024-04-25,719584.0,625469228373.3334
2024-04-26,812264.0,763721063360.0
2024-04-27,678165.3333333334,561689207694.2222
2024-04-28,442048.0,297214695082.6667
2024-04-29,456936.0,323622821141.3333
2024-04-30,723826.6666666666,564979657379.5555
2024-05-01,820960.0,745481798997.3334
2024-05-02,648693.3333333334,474373097016.8889
2024-05-03,433765.3333333333,225454195683.55557
2024-05-04,668277.3333333334,536457177656.8889
2024-05-05,435154.6666666667,209868123982.2222
2024-05-06,770549.3333333334,659346636344.8888
2024-05-07,973837.3333333334,1164460664142.222
2024-05-08,886882.6666666666,811357404152.889
2024-05-09,888328.0,794709339242.6666
2024-05-10,795960.0,761919486400.0
2024-05-11,778962.6666666666,936729871182.2223
2024-05-12,976760.0,1172814683242.6667
2024-05-13,1126402.6666666667,1286244137123.5552
2024-05-14,634432.0,698463883264.0
2024-05-15,643480.0,780851042240.0
2024-05-16,934280.0,908277630741.3334
2024-05-17,973749.3333333334,951150941411.5555
2024-05-18,1052026.6666666667,1150698036536.889
2024-05-19,767272.0,741205632618.6666
2024-05-20,497093.3333333333,291759553848.8889
2024-05-21,705840.0,577648864682.6666
2024-05-22,890341.3333333334,816992581603.5553
2024-05-23,986512.0,990067026688.0
2024-05-24,983656.0,936437629888.0
2024-05-25,711333.3333333334,565494598968.8888
2024-05-26,411146.6666666667,196697333304.88892
2024-05-27,484693.3333333333,247803519544.88882
2024-05-28,740624.0,572805497941.3334
2024-05-29,689552.0,557468007509.3334
2024-05-30,394282.6666666667,190767638414.2222
2024-05-31,622637.3333333334,503375916195.5555
2024-06-01,937509.3333333334,847067486862.2223
2024-06-02,829490.6666666666,585615604728.889
2024-06-03,990688.0,885188244480.0
2024-06-04,904797.3333333334,837963330552.8888
2024-06-05,804930.6666666666,559235342840.8888
2024-06-06,541949.3333333334,401355012259.5555
2024-06-07,641824.0,504294883328.0
2024-06-08,666125.3333333334,515520043000.8889
2024-06-09,740058.6666666666,441885780622.22235
2024-06-10,870757.3333333334,675847709326.2223
2024-06-11,996896.0,992045173418.6666
2024-06-12,1227160.0,1346853603946.6667
2024-06-13,1212898.6666666667,1317307697827.5554
2024-06-14,1199016.0,1304466759274.6667
2024-06-15,1099616.0,1062656447146.6666
2024-06-16,913730.6666666666,768052087288.8892
2024-06-17,356373.3333333333,117754226574.22221
2024-06-18,659498.6666666666,344316765070.2223
2024-06-19,707752.0,704854183189.3334
2024-06-20,1154618.6666666667,1182246026552.889
2024-06-21,894736.0,1052117743360.0
2024-06-22,1120456.0,1115504379328.0
2024-06-23,1129437.3333333333,1232979443363.5557
2024-06-24,1198789.3333333333,1286200557880.8887
2024-06-25,1217578.6666666667,1323082054542.2222
2024-06-26,1125688.0,1222560550336.0
2024-06-27,1186234.6666666667,1291052498574.2222
2024-06-28,1105117.3333333333,1117295398563.5554
2024-06-29,1195672.0,1287418198293.3333
2024-06-30,823381.3333333334,825424359310.2222
2024-07-01,877450.6666666666,769401150691.5555
2024-07-02,988960.0,957905269760.0
2024-07-03,538144.0,447809496064.0
2024-07-04,464946.6666666667,191610832206.22217
2024-07-05,466725.3333333333,270299000803.55557
2024-07-06,693949.3333333334,412673626275.5554
2024-07-07,540893.3333333334,328951655416.88873
2024-07-08,668010.6666666666,443387400078.2222
2024-07-09,528240.0,361144115626.6667
2024-07-10,807197.3333333334,554247635619.5554
2024-07-11,815730.6666666666,690056146595.5557
2024-07-12,937514.6666666666,826848748430.2223
2024-07-13,1010125.3333333334,963154901667.5553
2024-07-14,961640.0,897055371541.3334
2024-07-15,979432.0,938653700373.3334
2024-07-16,899429.3333333334,825518505955.5555
2024-07-17,969410.6666666666,968004004003.5558
2024-07-18,547738.6666666666,343263984611.5555
2024-07-19,873789.3333333334,730922896888.889
2024-07-20,1005848.0,1009069739968.0
2024-07-21,791202.6666666666,686188084558.2228
2024-07-22,212264.0,53208708714.666664
2024-07-23,772178.6666666666,754106824526.2223
2024-07-24,934152.0,919797593194.6666
2024-07-25,1046050.6666666666,1119176619683.5554
2024-07-26,1036440.0,1110745197504.0
2024-07-27,1003882.6666666666,1032698790798.2223
2024-07-28,933149.3333333334,888759682723.5555
2024-07-29,665752.0,684248324373.3334
2024-07-30,881821.3333333334,773269517304.8888
2024-07-31,793818.6666666666,736158675939.5555
2024-08-01,850936.0,740784983146.6666
2024-08-02,779618.6666666666,725327512910.2223
2024-08-03,920040.0,901912881429.3334
2024-08-04,696469.3333333334,563155849784.8888
2024-08-05,546197.3333333334,308601572238.2221
2024-08-06,400362.6666666667,154188342499.55554
2024-08-07,771970.6666666666,713102970702.2223
2024-08-08,640544.0,555235168597.3334
2024-08-09,546850.6666666666,354579370659.5554
2024-08-10,576208.0,407817435904.0
2024-08-11,653837.3333333334,553484460707.5555
2024-08-12,757264.0,651187207936.0
2024-08-13,810693.3333333334,786604190350.2222
2024-08-14,959941.3333333334,1043131331555.5553
2024-08-15,948970.6666666666,1029916032227.5555
2024-08-16,732000.0,815785969322.6666
2024-08-17,353224.0,197945200746.66666
2024-08-18,397322.6666666667,324821858872.88885
2024-08-19,782730.6666666666,770388344376.8892
2024-08-20,820922.6666666666,831791543267.5557
2024-08-21,685530.6666666666,699229613368.889
2024-08-22,658373.3333333334,522672816782.2221
2024-08-23,789170.6666666666,765448150350.2225
2024-08-24,681976.0,606651181504.0
2024-08-25,632882.6666666666,535006830243.5557
2024-08-26,650930.6666666666,521245011960.889
2024-08-27,390648.0,270284402453.33334
2024-08-28,443448.0,289485697130.6667
2024-08-29,606069.3333333334,437679866766.2222
2024-08-30,476277.3333333333,288161884728.889
2024-08-31,357706.6666666667,216498611427.55557
2024-09-01,469832.0,359146212117.3333
2024-09-02,439714.6666666667,265737172984.8887
2024-09-03,307074.6666666667,148896724814.2222
2024-09-04,245618.66666666666,119862516046.22223
2024-09-05,474408.0,428874236181.3333
2024-09-06,449605.3333333333,309898308920.889
2024-09-07,318317.3333333333,189838282232.8889
2024-09-08,278074.6666666667,135154276664.8889
2024-09-09,422176.0,384622834005.3333
2024-09-10,449296.0,327930527146.6667
2024-09-11,558448.0,434111502762.6667
2024-09-12,599701.3333333334,543508339256.88885
2024-09-13,490274.6666666667,367961706830.2222
2024-09-14,336277.3333333333,169535424739.55557
2024-09-15,450954.6666666667,302437803235.5555
2024-09-16,495445.3333333333,387433505336.8889
2024-09-17,249600.0,174221377877.33334
2024-09-18,175082.66666666666,99007530552.8889
2024-09-19,450992.0,390826893056.0
2024-09-20,535765.3333333334,437803476878.222
2024-09-21,379077.3333333333,278027350670.2222
2024-09-22,543194.6666666666,486743203128.889
2024-09-23,435093.3333333333,319267025464.8891
2024-09-24,409205.3333333333,276038473955.55554
2024-09-25,379941.3333333333,231377106915.55563
2024-09-26,374680.0,236326220053.33334
2024-09-27,336344.0,204430682730.66666
2024-09-28,383296.0,262161985877.33334
2024-09-29,268018.6666666667,149577981262.22226
2024-09-30,205389.33333333334,72517506723.55554
2024-10-01,305341.3333333333,177702005923.55557
2024-10-02,379946.6666666667,280804535182.22235
2024-10-03,367925.3333333333,247289521038.2222
2024-10-04,307480.0,183238156906.66666
2024-10-05,395024.0,288333624064.0
2024-10-06,244808.0,164306037184.0
2024-10-07,296816.0,183822435072.0
2024-10-08,164178.66666666666,75400492536.88882
2024-10-09,148904.0,54659002645.333336
2024-10-10,285160.0,185005755328.0
2024-10-11,254264.0,125677557184.0
2024-10-12,297034.6666666667,203623344696.88892
2024-10-13,314056.0,192852468842.66666
2024-10-14,222274.66666666666,110192509091.5556
2024-10-15,257693.33333333334,141827815075.55548
2024-10-16,245645.33333333334,175685156174.22223
2024-10-17,332098.6666666667,232468984654.22226
2024-10-18,295616.0,180453371904.0
2024-10-19,181440.0,73966543872.0
2024-10-20,181618.66666666666,70746372088.88892
2024-10-21,151053.33333333334,53832790691.55554
2024-10-22,176640.0,66602223274.666664
2024-10-23,197296.0,99233628586.66667
2024-10-24,163362.66666666666,68869530958.22223
2024-10-25,146261.33333333334,57203582520.88886
2024-10-26,161138.66666666666,61484805112.88889
2024-10-27,151189.33333333334,58215076067.55555
2024-10-28,191322.66666666666,95661243704.88892
2024-10-29,157445.33333333334,65171676472.88888
2024-10-30,124973.33333333333,36803362979.555565
2024-10-31,156349.33333333334,62420906147.55554
2024-11-01,188218.66666666666,99103483192.88892
2024-11-02,229714.66666666666,130392055288.88892
2024-11-03,146466.66666666666,65420102648.88885
2024-11-04,82664.0,20285687744.0
2024-11-05,138040.0,70155335104.0
2024-11-06,115050.66666666667,54298305422.22216
2024-11-07,121480.0,57030493632.0
2024-11-08,158240.0,69096565077.33333
2024-11-09,160413.33333333334,69895122254.2222
2024-11-10,136018.66666666666,48274749262.22223
2024-11-11,120885.33333333333,46995156878.2222
2024-11-12,153541.33333333334,67586854883.55558
2024-11-13,117141.33333333333,37215390264.88888
2024-11-14,126224.0,46220310613.333336
2024-11-15,99685.33333333333,31435501880.888905
2024-11-16,124490.66666666667,51170890296.888885
2024-11-17,164594.66666666666,77930194595.55556
2024-11-18,99845.33333333333,35821553294.22223
2024-11-19,101746.66666666667,45644901368.88889
2024-11-20,143245.33333333334,61770263886.22223
2024-11-21,95669.33333333333,30314988088.8889
2024-11-22,74760.0,19287666112.0
2024-11-23,82306.66666666667,21178516984.88888
2024-11-24,71200.0,17021871445.333334
2024-11-25,115818.66666666667,41814464056.88889
2024-11-26,108416.0,35717516288.0
2024-11-27,107685.33333333333,38368483982.22222
2024-11-28,117994.66666666667,44594056760.888885
2024-11-29,96074.66666666667,31201369998.2222
2024-11-30,112624.0,41503362133.333336
2024-12-01,84589.33333333333,25581092344.888885
2024-12-02,49000.0,8261484821.333333
2024-12-03,53144.0,8918190357.333334
2024-12-04,39506.666666666664,5114350414.222225
2024-12-05,66170.66666666667,18127193059.555557
2024-12-06,73824.0,18651759957.333332
2024-12-07,61640.0,13207057856.0
2024-12-08,81264.0,25294012501.333332
2024-12-09,92530.66666666667,28973921614.222218
2024-12-10,94760.0,31966170389.333332
2024-12-11,79397.33333333333,22622342798.222233
2024-12-12,48304.0,7702551637.333333
2024-12-13,65501.333333333336,19136194211.555553
2024-12-14,69120.0,17112020992.0
2024-12-15,52832.0,13353620138.666666
2024-12-16,69474.66666666667,21381703331.555553
2024-12-17,87874.66666666667,27262917454.222218
2024-12-18,81693.33333333333,24439567694.222225
2024-12-19,90522.66666666667,29373611662.22223
2024-12-20,92456.0,30167805546.666668
2024-12-21,61093.333333333336,15506002915.555548
2024-12-22,54861.333333333336,12150365859.555557
2024-12-23,60778.666666666664,12427815822.22222
2024-12-24,76490.66666666667,20952184376.88889
2024-12-25,71696.0,19081879296.0
2024-12-26,71498.66666666667,20218006414.222225
2024-12-27,75189.33333333333,21029615502.222202
2024-12-28,66685.33333333333,15797789518.222221
2024-12-29,63754.666666666664,15616199907.555548
2024-12-30,77048.0,20946858090.666668
2024-12-31,45692.23529411765,11920778406.532867
