Date,Mean_Temp_C,Variance_Temp_C
2024-01-01,2.3198619842529524,0.00020251322833549543
2024-01-02,2.271331405639671,0.00018826093704168065
2024-01-03,2.2236877441406477,0.00020401942310854793
2024-01-04,2.176296488444033,0.00019470871322684817
2024-01-05,2.128555552164736,0.00017869029963751222
2024-01-06,2.082514699300153,0.0001680443706896363
2024-01-07,2.0369862874349187,0.00016234643731473226
2024-01-08,1.9946495056152571,0.00015976928504339108
2024-01-09,1.9516991933187076,0.00015265064778052168
2024-01-10,1.9098481496175357,0.0001546508085286607
2024-01-11,1.8677764892578352,0.0001488753284017245
2024-01-12,1.8263374328613509,0.0001226724562002346
2024-01-13,1.7866416931152571,0.00013545538240578026
2024-01-14,1.7472746531168848,0.0001196585746785988
2024-01-15,1.7102663675944239,0.00011677467490598145
2024-01-16,1.6725580851237207,0.000123140356865608
2024-01-17,1.63555234273277,9.968967020136512e-05
2024-01-18,1.6017223358154524,9.298391159973107e-05
2024-01-19,1.569014485677106,8.630030141729448e-05
2024-01-20,1.5369684855143457,8.638586667883727e-05
2024-01-21,1.5060192108154524,7.032056479753616e-05
2024-01-22,1.4779023488362857,6.170842445701257e-05
2024-01-23,1.4510977427164942,5.6991644265104296e-05
2024-01-24,1.4262151082356997,4.349378610236777e-05
2024-01-25,1.4034509023030826,4.5932062574946845e-05
2024-01-26,1.3799135843912989,4.526916341597421e-05
2024-01-27,1.3564640045166243,3.833878266353471e-05
2024-01-28,1.334199523925804,4.4703580594311156e-05
2024-01-29,1.311878458658877,4.497550091602735e-05
2024-01-30,1.2893399556478091,4.207872391109252e-05
2024-01-31,1.2683031717936426,3.5568992542620334e-05
2024-02-01,1.24800834655764,3.5520668461686e-05
2024-02-02,1.2272201538086165,3.6171870306134224e-05
2024-02-03,1.2072635650634993,3.1700392961890124e-05
2024-02-04,1.1874144236246973,3.323112185979779e-05
2024-02-05,1.1674463907877832,3.479457356863551e-05
2024-02-06,1.147370910644554,3.74189888437589e-05
2024-02-07,1.1284760793050357,2.7232317936270396e-05
2024-02-08,1.1089728037516504,3.301331849393641e-05
2024-02-09,1.091109212239606,2.9080599132511353e-05
2024-02-10,1.0717108408610254,3.1957935991360704e-05
2024-02-11,1.0526837666829654,3.1929558544005784e-05
2024-02-12,1.0336579640706607,2.5393130474387566e-05
2024-02-13,1.0161961873372622,3.048161872559124e-05
2024-02-14,0.9974037170410384,2.80537885070468e-05
2024-02-15,0.9799349466959862,2.8312204651431082e-05
2024-02-16,0.961329396565778,2.709655705580695e-05
2024-02-17,0.9426545461019108,3.0373882408538412e-05
2024-02-18,0.9244228363037337,3.0272423221807305e-05
2024-02-19,0.9047809600830305,3.708371878019534e-05
2024-02-20,0.8838935852051009,4.128305105647693e-05
2024-02-21,0.8616335550944237,3.760639649246715e-05
2024-02-22,0.8402737935384342,4.132650630910777e-05
2024-02-23,0.8219085693359602,2.0604444822917383e-05
2024-02-24,0.8077452341715722,1.5230945993809857e-05
2024-02-25,0.7945629119873274,1.7438749637221918e-05
2024-02-26,0.7817016601562727,9.190232958644629e-06
2024-02-27,0.7713307698567936,1.180716531558169e-05
2024-02-28,0.7599178314209212,7.182065019151196e-06
2024-02-29,0.7505966186523665,9.296830588330826e-06
2024-03-01,0.7411902109782128,6.779513771309413e-06
2024-03-02,0.7312999725342024,8.947066817199811e-06
2024-03-03,0.7233177185058821,6.9900658369685216e-06
2024-03-04,0.7142489115397362,9.228997643933528e-06
2024-03-05,0.7055793762207259,6.939386366866529e-06
2024-03-06,0.696721013387067,6.656986645086566e-06
2024-03-07,0.6869477589925358,8.332833709169385e-06
2024-03-08,0.6763136545817284,7.461416518910685e-06
2024-03-09,0.6676898956299055,6.524910228714968e-06
2024-03-10,0.6613218943278222,4.7626862295955e-06
2024-03-11,0.6536937713623274,5.214597573891903e-06
2024-03-12,0.6479501088460514,4.230726416507322e-06
2024-03-13,0.6405693054199446,3.89221531804651e-06
2024-03-14,0.6334701538086165,3.7151621654629707e-06
2024-03-15,0.6279966990153222,1.8982872360437693e-06
2024-03-16,0.6228029886881737,3.562326633578372e-06
2024-03-17,0.6151557922363509,5.340441324127217e-06
2024-03-18,0.6090510050455956,2.984009269211028e-06
2024-03-19,0.603960291544619,2.1596202309916007e-06
2024-03-20,0.5985008239746321,3.3706746762618423e-06
2024-03-21,0.591966883341494,3.242806592930314e-06
2024-03-22,0.586003239949567,4.688131917242168e-06
2024-03-23,0.578987375895205,4.567844573304886e-06
2024-03-24,0.5730116526286034,2.738097666426458e-06
2024-03-25,0.5669615427653222,3.663900214531975e-06
2024-03-26,0.559849675496442,3.9766014702359425e-06
2024-03-27,0.5553038279215722,1.1504158060739025e-06
2024-03-28,0.5520613352457909,1.452950123671649e-06
2024-03-29,0.5476928710937727,1.912451504419247e-06
2024-03-30,0.5435106913248925,1.5524161022363433e-06
2024-03-31,0.5401976267496972,1.368946767696697e-06
2024-04-01,0.5358762105306217,2.3658875660556883e-06
2024-04-02,0.5313755035400618,1.8220513690418254e-06
2024-04-03,0.5272772471110253,1.7277484908441284e-06
2024-04-04,0.5230372111002831,2.043392871403032e-06
2024-04-05,0.5195092519124577,1.0824971670647044e-06
2024-04-06,0.5175930023193587,8.316092134919018e-07
2024-04-07,0.5140961964925358,2.1969119390834953e-06
2024-04-08,0.5098046620687077,1.4482159005840204e-06
2024-04-09,0.5051609039306868,2.382183690012122e-06
2024-04-10,0.500483449300153,2.4424112376032604e-06
2024-04-11,0.49487902323407224,3.1190571058282835e-06
2024-04-12,0.49205614725750974,1.2171411880343733e-06
2024-04-13,0.48892809549969724,6.881111605455065e-07
2024-04-14,0.4858280181884993,1.6770948908136536e-06
2024-04-15,0.48136672973635086,2.2442012171571455e-06
2024-04-16,0.47722651163739255,2.4890161714413102e-06
2024-04-17,0.47385749816896805,9.127409915284564e-07
2024-04-18,0.4710912068685123,1.1102076516383224e-06
2024-04-19,0.46795361836753574,1.2911231250553908e-06
2024-04-20,0.4644943237304915,1.5067635104060173e-06
2024-04-21,0.460569636027041,1.886092731082398e-06
2024-04-22,0.4561331431071191,2.075995224812585e-06
2024-04-23,0.45228665669761386,1.0136860105881676e-06
2024-04-24,0.4503373463948795,6.240148246029599e-07
2024-04-25,0.4497568766276269,9.098568827741675e-07
2024-04-26,0.44575080871584305,2.1082487364765257e-06
2024-04-27,0.44207852681480136,8.339213511337424e-07
2024-04-28,0.43917109171551755,1.5262420573789207e-06
2024-04-29,0.4356348673502832,1.1705107883446747e-06
2024-04-30,0.43250300089520505,1.1519862002589632e-06
2024-05-01,0.42923571268719724,1.5822972474981925e-06
2024-05-02,0.42603454589846024,8.354739596446356e-07
2024-05-03,0.4243230183919498,3.1101646729641477e-07
2024-05-04,0.423673884073916,5.139247352619552e-07
2024-05-05,0.4224728902181217,5.509338936664989e-07
2024-05-06,0.4203137715657779,1.9518952790854705e-06
2024-05-07,0.41802558898928055,5.172393381750832e-07
2024-05-08,0.4163096110026269,6.90278183254931e-08
2024-05-09,0.41640497843426755,4.631955461162661e-07
2024-05-10,0.41678771972658524,4.681060090661049e-07
2024-05-11,0.4167858123779524,5.676859776334217e-07
2024-05-12,0.4191178639730045,5.911857038477643e-07
2024-05-13,0.4226159413655826,1.5847322679797396e-06
2024-05-14,0.42576688130698886,1.2907932816435484e-06
2024-05-15,0.4292331695556868,2.581583733748024e-06
2024-05-16,0.434324518839541,5.077929219826022e-06
2024-05-17,0.4418095906575748,3.386806282732221e-06
2024-05-18,0.4462365468343326,2.4660156567632743e-06
2024-05-19,0.4516019185384342,4.181326302285824e-06
2024-05-20,0.45787137349448886,5.068024216193912e-06
2024-05-21,0.46689758300783524,9.616429451853037e-06
2024-05-22,0.4779169718424707,9.329362203263574e-06
