Date,Mean_Temp_C,Variance_Temp_C
2024-01-01,1.9048229217529524,0.00013569766330571534
2024-01-02,1.8646745045980044,0.000135831718782558
2024-01-03,1.8257385253906477,0.0001255946117453277
2024-01-04,1.7863225301106997,0.00013314208222760094
2024-01-05,1.7473706563314029,0.00011785630906362913
2024-01-06,1.7087354024251529,0.00011455106464887243
2024-01-07,1.6733795166015852,0.00010125829915826519
2024-01-08,1.6377972920735904,0.00010996732776725873
2024-01-09,1.602903620402041,0.00010201091410837967
2024-01-10,1.5675629933675357,0.00010754140829602774
2024-01-11,1.5313507080078352,0.0001052049919962883
2024-01-12,1.4965848286946841,0.00010030167403682649
2024-01-13,1.4609580993652571,0.00010723630839493126
2024-01-14,1.4257414499918848,8.630201490531261e-05
2024-01-15,1.3939414978027571,8.790346813232948e-05
2024-01-16,1.3607905069987207,9.207267753986847e-05
2024-01-17,1.3275282541911035,9.235736757141743e-05
2024-01-18,1.2963024139404524,7.625456419191323e-05
2024-01-19,1.2657104492187727,7.933069719001651e-05
2024-01-20,1.2349665323893457,7.568559117822185e-05
2024-01-21,1.2037731170654524,8.254634667537175e-05
2024-01-22,1.1723196665446192,8.415857599983508e-05
2024-01-23,1.1411205291748274,8.373063974431716e-05
2024-01-24,1.1091578165690332,8.466817800783448e-05
2024-01-25,1.0801273345947493,6.676336852251552e-05
2024-01-26,1.0517885843912989,6.490889386946542e-05
2024-01-27,1.0229679107666243,6.872287121950649e-05
2024-01-28,0.9930536905924706,7.377160687206521e-05
2024-01-29,0.9641408284505436,6.030879578449661e-05
2024-01-30,0.9370450337728092,6.280437648658537e-05
2024-01-31,0.9089281717936425,6.584815208851876e-05
2024-02-01,0.8817160288493066,5.902404235611256e-05
2024-02-02,0.8556381225586165,4.9294826264182724e-05
2024-02-03,0.8324263254801659,3.805346164477266e-05
2024-02-04,0.8118447621663639,3.3528834642816546e-05
2024-02-05,0.7925277709961165,3.0063868810733158e-05
2024-02-06,0.7753819783528874,2.271609587801827e-05
2024-02-07,0.759172693888369,2.1219078512836455e-05
2024-02-08,0.7439825693766503,2.0848693465167245e-05
2024-02-09,0.7292928059896061,1.673995413713985e-05
2024-02-10,0.7164862314860253,1.853664636857704e-05
2024-02-11,0.7033999125162987,1.3342843481546477e-05
2024-02-12,0.6898265838623274,1.3404008010790372e-05
2024-02-13,0.6776545206705956,1.4741025451156829e-05
2024-02-14,0.6663490295410384,8.063880765500167e-06
2024-02-15,0.656367238362653,8.543330800926522e-06
2024-02-16,0.6455741882324446,1.0076119603278736e-05
2024-02-17,0.6339794158935774,1.1182532034581527e-05
2024-02-18,0.623722966512067,8.839482891037025e-06
2024-02-19,0.6127073923746972,8.329341249514577e-06
2024-02-20,0.6041084289551009,7.20285364271452e-06
2024-02-21,0.5944623311360905,8.66896233573142e-06
2024-02-22,0.5853096008301009,7.282113074325025e-06
2024-02-23,0.5745941162109602,1.030525891110301e-05
2024-02-24,0.5658018747965722,3.2941845549632686e-06
2024-02-25,0.5580720265706608,9.143976866552192e-06
2024-02-26,0.5494425455729394,5.892937123361561e-06
2024-02-27,0.5401295979817936,9.4850676962071e-06
2024-02-28,0.5310766855875878,6.431625984583257e-06
2024-02-29,0.5224878946940331,6.527284211996528e-06
2024-03-01,0.5145463307698795,2.0393923073748333e-06
2024-03-02,0.508806482950869,5.732348250199316e-06
2024-03-03,0.5013938903808821,4.025355641109248e-06
2024-03-04,0.4938713073730696,6.963193300180137e-06
2024-03-05,0.48552729288739255,5.224097144996955e-06
2024-03-06,0.4778896331787337,5.0725999850934995e-06
2024-03-07,0.4702322642008691,3.944752178439456e-06
2024-03-08,0.4624464670817285,6.2829830211638974e-06
2024-03-09,0.45333442687990555,6.835971968636538e-06
2024-03-10,0.44517606099448886,3.2328336803604743e-06
2024-03-11,0.43941968282066074,2.0908381783455193e-06
2024-03-12,0.43383878072105136,3.376082733868518e-06
2024-03-13,0.4269462585449446,5.880899455708762e-06
2024-03-14,0.4185450236002832,5.184996148778333e-06
2024-03-15,0.41266466776532224,2.8662418319274566e-06
2024-03-16,0.4064943949381738,3.958449168648157e-06
2024-03-17,0.39957962036135086,3.942836580487589e-06
2024-03-18,0.3936375935872623,1.5994430416160158e-06
2024-03-19,0.3886282602946191,4.4426023022323425e-06
2024-03-20,0.3817039489746321,3.3706746762618423e-06
2024-03-21,0.37484448750816074,5.2879909667859065e-06
2024-03-22,0.366764958699567,6.956212827289063e-06
2024-03-23,0.35958633422853836,2.0983910265689096e-06
2024-03-24,0.3540988922119368,2.8819352640615157e-06
2024-03-25,0.34804878234865555,3.1620208271003016e-06
2024-03-26,0.340855534871442,4.048934190197744e-06
2024-03-27,0.33500760396323886,2.457682259975829e-06
2024-03-28,0.331358210245791,1.4529501236716496e-06
2024-03-29,0.32698974609377274,1.912451504419247e-06
2024-03-30,0.32264480590822586,1.8756885159139831e-06
2024-03-31,0.31916898091636386,2.105312483359335e-06
2024-04-01,0.3127316792806217,3.4400129354455403e-06
2024-04-02,0.3049757639567285,5.021040932559926e-06
2024-04-03,0.296971257527692,4.850162642671622e-06
2024-04-04,0.2888249715169498,5.4135388280782436e-06
2024-04-05,0.2817162831624576,1.7934067323545203e-06
2024-04-06,0.27923037211102536,1.0941386992473981e-06
2024-04-07,0.2756521860758691,2.407390840946593e-06
2024-04-08,0.271360651652041,1.5357602225978756e-06
2024-04-09,0.2660658518473535,3.6427805348972065e-06
2024-04-10,0.2600863138834863,2.2400037980534962e-06
2024-04-11,0.25399360656740555,4.2159481381531805e-06
2024-04-12,0.2493803660075097,1.2314214675118112e-06
2024-04-13,0.2451943715413639,2.273532623399256e-06
2024-04-14,0.2414432525634993,1.7860596320436646e-06
2024-04-15,0.2365750630696842,2.806306131080621e-06
2024-04-16,0.2308072408040592,3.892208850528631e-06
2024-04-17,0.22434577941896805,3.990451659774408e-06
2024-04-18,0.21889394124351233,2.005519086702003e-06
2024-04-19,0.21388460795086908,1.4072280060241203e-06
2024-04-20,0.21026255289715814,1.5051078258289235e-06
2024-04-21,0.20641924540204096,1.6423966573913476e-06
2024-04-22,0.20190137227378577,2.7502727688341916e-06
2024-04-23,0.1960203806559472,4.017822195439495e-06
2024-04-24,0.18894411722821283,4.800065249178765e-06
2024-04-25,0.18185323079429358,3.9670784543785785e-06
2024-04-26,0.1758126576741764,2.3043438785761173e-06
2024-04-27,0.1705941518148014,3.6701090316960795e-06
2024-04-28,0.16532669067385086,1.4813316132252414e-06
2024-04-29,0.1615463256836165,1.254122859487931e-06
2024-04-30,0.15841445922853836,1.218213583342731e-06
2024-05-01,0.1550657908121972,1.3615737973143248e-06
2024-05-02,0.15186462402346024,1.0987278074026108e-06
2024-05-03,0.14876963297528314,1.9824300478729934e-06
2024-05-04,0.14478391011558264,1.3977498585720441e-06
2024-05-05,0.14260635375978836,1.2051362621908386e-06
2024-05-06,0.13792444864911127,2.5640846514660456e-06
2024-05-07,0.13311347961428055,8.615182499246051e-07
2024-05-08,0.1304209391276269,1.256153660102023e-06
2024-05-09,0.12685419718426752,1.189627154316339e-06
2024-05-10,0.12438863118491857,1.171771954331133e-06
2024-05-11,0.1186087290446191,4.283870010921318e-06
2024-05-12,0.11288414001467117,3.0915798561181873e-06
2024-05-13,0.10596555074058263,3.5786939002314793e-06
2024-05-14,0.09992052714032222,1.9178838152179705e-06
2024-05-15,0.09565569559735347,2.0382087516029264e-06
2024-05-16,0.0933414459228743,8.842871466185898e-07
2024-05-17,0.09000295003257482,2.4492748909526403e-06
2024-05-18,0.0858036041259993,7.667658792342991e-07
2024-05-19,0.08360061645510086,6.302968055630723e-07
2024-05-20,0.08124376932782222,6.957751692324465e-07
2024-05-21,0.07765604654950191,2.007730977816714e-06
2024-05-22,0.07427113850913732,6.966228182944987e-07
2024-05-23,0.07239748636883785,1.1004445291796904e-06
2024-05-24,0.07018941243491857,1.7638602811429237e-06
2024-05-25,0.06701049804689774,6.426707841455936e-07
2024-05-26,0.06423085530601232,9.562871936294769e-07
2024-05-27,0.06147155761721024,5.583472860356172e-07
2024-05-28,0.059334691365582636,5.899633429685814e-07
2024-05-29,0.057175572713238886,8.235991925984207e-07
2024-05-30,0.05307540893556961,1.3898485728229086e-06
2024-05-31,0.050049718221051386,1.657559753059306e-06
2024-06-01,0.0477322896321842,5.1368099068188e-07
2024-06-02,0.04706726074221024,4.532630555331707e-07
2024-06-03,0.0453671773274967,5.774377819357646e-07
2024-06-04,0.04427808125816076,3.3180266554053463e-07
2024-06-05,0.0441159566243717,3.436564131536417e-07
2024-06-06,0.04523811340334305,8.751388425783565e-07
2024-06-07,0.04608815511069982,1.1675616001917258e-06
2024-06-08,0.04790967305503576,6.651579395919626e-07
2024-06-09,0.050194676717145136,2.2096109104394496e-06
2024-06-10,0.05561408996584305,7.257123797899112e-06
2024-06-11,0.06645482381187169,1.144034548714343e-05
2024-06-12,0.08132578531903316,2.209754246804449e-05
2024-06-13,0.09997138977053055,3.3440501283621415e-05
2024-06-14,0.12090962727866857,3.759952313784096e-05
2024-06-15,0.14342460632326492,5.9597627114271745e-05
2024-06-16,0.16985855102541336,5.77582250116393e-05
2024-06-17,0.1966288248698144,5.473836144018505e-05
2024-06-18,0.22332979838055658,6.233120762367938e-05
2024-06-19,0.25040461222333005,6.326194690902614e-05
2024-06-20,0.2779111226399967,6.691139262531781e-05
2024-06-21,0.3078615824381738,8.815905150388267e-05
2024-06-22,0.3403882344564029,9.027350299422524e-05
2024-06-23,0.3743250528971582,0.00010026348496062889
2024-06-24,0.41085904439292636,0.00013243209064563012
2024-06-25,0.453679021199567,0.00016667005992429854
2024-06-26,0.5004338582356999,0.00021629345266976292
2024-06-27,0.5548581441243717,0.0002929418874878643
2024-06-28,0.6179926554362206,0.0003572117744220628
2024-06-29,0.6871944427490462,0.00044798468419079046
2024-06-30,0.7683966318766503,0.0006878969818191965
2024-07-01,0.8821509043375878,0.0017002522844349088
2024-07-02,1.0365189870198794,0.0021040640903164684
2024-07-03,1.19759330749514,0.002227337765361881
2024-07-04,1.366495386759463,0.0026796898936380688
2024-07-05,1.5546635945638247,0.0031044254170006346
2024-07-06,1.7504332224528223,0.0033082343090629564
2024-07-07,1.9525021870931216,0.0034988332562433146
2024-07-08,2.1679779052734602,0.004305275564547628
2024-07-09,2.405695851643903,0.004979189735927826
2024-07-10,2.6565617879232,0.0054114258317794215
2024-07-11,2.915681457519554,0.0057777598849497736
2024-07-12,3.1774733225504783,0.005516240654186631
2024-07-13,3.4262271881103743,0.004829790458946566
2024-07-14,3.658249791463239,0.004236579911068677
2024-07-15,3.882097498575869,0.004138272623903403
2024-07-16,4.108470535278343,0.0043505473937936285
2024-07-17,4.339350001017276,0.004536667440536096
2024-07-18,4.577210998535179,0.004845323060483982
